id,name,born,birthplace,url
140047,Annika Belshaw,13 June 2002,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/140047
140024,Paige Jones,30 August 2002,"Park City, Utah (USA)",https://www.olympedia.org/athletes/140024
1806097,Josie Johnson,3 October 2006,"Park City, Utah (USA)",https://www.olympedia.org/athletes/1806097
157311,Cam Smith,18 September 1995,"Rockford, Illinois (USA)",https://www.olympedia.org/athletes/157311
157248,Anna Gibson,7 May 1999,"Jackson, Wyoming (USA)",https://www.olympedia.org/athletes/157248
149156,Cody Winters,20 April 2000,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/149156
157306,Jake Canter,19 July 2003,,https://www.olympedia.org/athletes/157306
138371,Red Gerard,29 June 2000,"Westlake, Ohio (USA)",https://www.olympedia.org/athletes/138371
1806403,Oliver Martin,15 June 2008,"Wellington, Wellington (NZL)",https://www.olympedia.org/athletes/1806403
149154,Sean FitzSimons,22 September 2000,"Hood River, Oregon (USA)",https://www.olympedia.org/athletes/149154
138376,Jake Pates,30 July 1998,"Boulder, Colorado (USA)",https://www.olympedia.org/athletes/138376
1805512,Alessandro Barbieri,5 October 2008,"Portland, Oregon (USA)",https://www.olympedia.org/athletes/1805512
138372,Chase Josey,31 March 1995,"Hailey, Idaho (USA)",https://www.olympedia.org/athletes/138372
157305,Chase Blackwell,27 February 1999,,https://www.olympedia.org/athletes/157305
119606,Nick Baumgartner,17 December 1981,"Iron River, Michigan (USA)",https://www.olympedia.org/athletes/119606
2302065,Jake Vedder,16 April 1998,"Pinckney, Michigan (USA)",https://www.olympedia.org/athletes/2302065
157307,Nathan Pare,1 February 2005,,https://www.olympedia.org/athletes/157307
157245,Iris Pflum,13 July 2003,"St. Louis Park, Minnesota (USA)",https://www.olympedia.org/athletes/157245
157244,Jess Perlmutter,2 December 2009,,https://www.olympedia.org/athletes/157244
157241,Lily Dhawornvej,14 August 2009,"Littleton, Colorado (USA)",https://www.olympedia.org/athletes/157241
157243,Hahna Norman,26 October 2004,,https://www.olympedia.org/athletes/157243
138361,Chloe Kim,23 April 2000,"Long Beach, California (USA)",https://www.olympedia.org/athletes/138361
157242,Bea Kim,25 January 2007,,https://www.olympedia.org/athletes/157242
138365,Maddie Mastro,22 February 2000,"Wrightwood, California (USA)",https://www.olympedia.org/athletes/138365
157246,Maddy Schaffrick,29 April 1994,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/157246
119570,Faye Thelen,24 March 1992,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/119570
149151,Stacy Gaskill,21 May 2000,"Denver, Colorado (USA)",https://www.olympedia.org/athletes/149151
1806639,Hanna Percy,17 July 2007,,https://www.olympedia.org/athletes/1806639
1806837,Bri Schnorrbusch,30 January 2006,"Monroe, New Jersey (USA)",https://www.olympedia.org/athletes/1806837
140168,Jordan Stolz,21 May 2004,"West Bend, Wisconsin (USA)",https://www.olympedia.org/athletes/140168
157313,Cooper McLeod,7 November 2001,"Mount Vernon, Washington (USA)",https://www.olympedia.org/athletes/157313
157314,Zach Stoppelmoor,11 May 1999,,https://www.olympedia.org/athletes/157314
157312,Conor McDermott-Mostowy,13 January 1999,"Arlington, Virginia (USA)",https://www.olympedia.org/athletes/157312
128783,Emery Lehman,13 June 1996,"Oak Park, Illinois (USA)",https://www.olympedia.org/athletes/128783
149164,Casey Dawson,2 August 2000,"Park City, Utah (USA)",https://www.olympedia.org/athletes/149164
149163,Ethan Cepuran,13 May 2000,"Glen Ellyn, Illinois (USA)",https://www.olympedia.org/athletes/149163
138378,Erin Jackson,19 September 1992,"Ocala, Florida (USA)",https://www.olympedia.org/athletes/138378
2301021,Sarah Warren,20 June 1996,"Willowbrook, Illinois (USA)",https://www.olympedia.org/athletes/2301021
128778,Brittany Bowe,24 February 1988,"Ocala, Florida (USA)",https://www.olympedia.org/athletes/128778
157249,Greta Myers,22 May 2004,"Lino Lakes, Minnesota (USA)",https://www.olympedia.org/athletes/157249
138379,Mia Manganello,27 October 1989,"Fort Walton Beach, Florida (USA)",https://www.olympedia.org/athletes/138379
149161,Giorgia Birkeland,14 June 2002,"Scandiano, Reggio Emilia (ITA)",https://www.olympedia.org/athletes/149161
