id,name,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games,birthplace,sports,events_entered,medal_count,any_medal,any_gold,any_silver,any_bronze,best_position,has_individual_results
149143,Nick Shore,2022,1992-09-26,1992,9,3,29.36,"Denver, Colorado (USA)",Ice Hockey,0,0,False,False,False,False,,False
138314,Nicole Hensley,2022,1994-06-23,1994,6,2,27.62,"Littleton, Colorado (USA)",Ice Hockey,0,0,False,False,False,False,,False
149065,Nina O'Brien,2022,1997-11-29,1997,11,4,24.18,"San Francisco, California (USA)",Alpine Skiing,1,0,False,False,False,False,,True
138281,Nina Roth,2022,1988-07-21,1988,7,3,33.54,"Madison, Wisconsin (USA)",Curling,0,0,False,False,False,False,,False
149126,Noah Cates,2022,1999-02-05,1999,2,1,23.0,"Stillwater, Minnesota (USA)",Ice Hockey,0,0,False,False,False,False,,False
149081,Novie McCabe,2022,2001-12-15,2001,12,4,20.14,"Winthrop, Washington (USA)",Cross Country Skiing,2,0,False,False,False,False,18.0,True
149091,Olivia Giaccio,2022,2000-08-15,2000,8,3,21.47,"Mount Kisco, New York (USA)",Freestyle Skiing,1,0,False,False,False,False,6.0,True
149139,Pat Nagle,2022,1987-09-21,1987,9,3,34.37,"West Bloomfield Township, Michigan (USA)",Ice Hockey,0,0,False,False,False,False,,False
149158,Patrick Gasienica,2022,1998-11-28,1998,11,4,23.19,"McHenry, Illinois (USA)",Ski Jumping,2,0,False,False,False,False,49.0,True
149078,Paul Schommer,2022,1992-06-06,1992,6,2,29.66,"Appleton, Wisconsin (USA)",Biathlon,2,0,False,False,False,False,35.0,True
149064,Paula Moltzan,2022,1994-04-07,1994,4,2,27.83,"Robbinsdale, Minnesota (USA)",Alpine Skiing,2,0,False,False,False,False,8.0,True
